case,variant,before,after,shift_s,Npaired_snr,mean_paired_delta_snr_db,median_paired_delta_snr_db,positive_delta_pct
data1,chrom,trimmed_gap15,guarded_fusion_gap10,1,38,-1.9413295412946703,-1.6911770720623487,23.684210526315788
data1,chrom,trimmed_gap15,guarded_fusion_gap15,1,38,-1.9413295412946703,-1.6911770720623487,23.684210526315788
data1,chrom,bounded_tracking_gap10,bounded_tracking_gap15,1,38,7.949196856316121e-14,6.394884621840902e-14,0.0
data1,chrom,bounded_tracking_gap10,guarded_fusion_gap10,1,38,7.949196856316121e-14,6.394884621840902e-14,0.0
data1,chrom,bounded_tracking_gap10,guarded_fusion_gap15,1,38,7.949196856316121e-14,6.394884621840902e-14,0.0
data1,chrom,bounded_tracking_gap15,guarded_fusion_gap10,1,38,0.0,0.0,0.0
data1,chrom,bounded_tracking_gap15,guarded_fusion_gap15,1,38,0.0,0.0,0.0
data1,chrom,guarded_fusion_gap10,guarded_fusion_gap15,1,38,0.0,0.0,0.0
data1,fusion,trimmed_gap10,trimmed_gap15,2,36,8.79790067958513e-14,8.43769498715119e-14,0.0
data1,fusion,trimmed_gap10,bounded_tracking_gap10,2,36,0.7071130507601446,0.8431595306921809,58.333333333333336
data1,fusion,trimmed_gap10,bounded_tracking_gap15,2,36,0.7071130507601637,0.843159530692196,58.333333333333336
data1,fusion,trimmed_gap10,guarded_fusion_gap10,2,36,-0.03359949284531008,1.723066134218243e-13,27.77777777777778
data1,fusion,trimmed_gap10,guarded_fusion_gap15,2,36,-0.03359949284531008,1.723066134218243e-13,27.77777777777778
data1,fusion,trimmed_gap15,bounded_tracking_gap10,2,36,0.7071130507600566,0.8431595306920494,58.333333333333336
data1,fusion,trimmed_gap15,bounded_tracking_gap15,2,36,0.7071130507600759,0.8431595306920645,58.333333333333336
data1,fusion,trimmed_gap15,guarded_fusion_gap10,2,36,-0.03359949284539806,2.6645352591003757e-14,27.77777777777778
