branch,roi,segment_id,start_frame,stop_frame_exclusive,status,window,finite_samples,minimum_weight,maximum_weight
tracked,left_cheek,0,960,1260,cdf_applied,True,300,0.0,0.7308195896192266
tracked,left_cheek,0,990,1290,cdf_applied,True,300,0.0,0.7489208341183111
tracked,left_cheek,0,1020,1320,cdf_applied,True,300,0.0,0.5644746973052077
tracked,left_cheek,0,1050,1350,cdf_applied,True,300,0.0,0.6551970874800889
tracked,left_cheek,0,1080,1380,cdf_applied,True,300,0.0,0.5830188393199985
tracked,left_cheek,0,1110,1410,cdf_applied,True,300,0.0,0.6876423777126586
tracked,left_cheek,0,1140,1440,cdf_applied,True,300,0.0,0.8366781017109486
tracked,left_cheek,0,1170,1470,cdf_applied,True,300,0.0,0.5601568963672386
tracked,left_cheek,0,1200,1500,cdf_applied,True,300,0.0,0.894519135338523
tracked,left_cheek,0,1230,1530,cdf_applied,True,300,0.0,0.5967270898661228
tracked,left_cheek,0,1260,1560,cdf_applied,True,300,0.0,0.8555457596261609
tracked,left_cheek,0,1290,1590,cdf_applied,True,300,0.0,0.7149012446028744
tracked,left_cheek,0,1320,1620,cdf_applied,True,300,0.0,0.5696828723593346
tracked,left_cheek,0,1350,1650,cdf_applied,True,300,0.0,0.510449683587222
tracked,left_cheek,0,1380,1680,cdf_applied,True,300,0.0,0.6931475131762063
tracked,left_cheek,0,1410,1710,cdf_applied,True,300,0.0,0.7391641628590641
tracked,left_cheek,0,1440,1740,cdf_applied,True,300,0.0,0.744193082549748
tracked,left_cheek,0,1470,1770,cdf_applied,True,300,0.0,0.6923874958030629
tracked,left_cheek,0,1500,1800,cdf_applied,True,300,0.0,0.8611436839763957
tracked,left_cheek,0,1530,1830,cdf_applied,True,300,0.0,0.514111493308232
tracked,left_cheek,0,1560,1860,cdf_applied,True,300,0.0,0.6258043210263422
tracked,right_cheek,0,0,300,cdf_applied,True,300,0.0,0.570113361405469
tracked,right_cheek,0,30,330,cdf_applied,True,300,0.0,0.6484063375943329
tracked,right_cheek,0,60,360,cdf_applied,True,300,0.0,0.7054349758561462
tracked,right_cheek,0,90,390,cdf_applied,True,300,0.0,0.6353517978498355
tracked,right_cheek,0,120,420,cdf_applied,True,300,0.0,0.7949217783033797
tracked,right_cheek,0,150,450,cdf_applied,True,300,0.0,0.7599782695119126
tracked,right_cheek,0,180,480,cdf_applied,True,300,0.0,0.4068602420765081
tracked,right_cheek,0,210,510,cdf_applied,True,300,0.0,0.4110344761979245
tracked,right_cheek,0,240,540,cdf_applied,True,300,0.0,0.5640961163123629
tracked,right_cheek,0,270,570,cdf_applied,True,300,0.0,0.804306833408145
tracked,right_cheek,0,300,600,cdf_applied,True,300,0.0,0.43002117097783144
tracked,right_cheek,0,330,630,cdf_applied,True,300,0.0,0.5802168528973648
tracked,right_cheek,0,360,660,cdf_applied,True,300,0.0,0.2965361317158784
tracked,right_cheek,0,390,690,cdf_applied,True,300,0.0,0.2493883995029397
tracked,right_cheek,0,420,720,cdf_applied,True,300,0.0,0.33919090971968274
tracked,right_cheek,0,450,750,cdf_applied,True,300,0.0,0.2918178708482181
tracked,right_cheek,0,480,780,cdf_applied,True,300,0.0,0.3955967062859617
tracked,right_cheek,0,510,810,cdf_applied,True,300,0.0,0.2615036365136273
tracked,right_cheek,0,540,840,cdf_applied,True,300,0.0,0.43329119390237014
tracked,right_cheek,0,570,870,cdf_applied,True,300,0.0,0.6921335713789353
tracked,right_cheek,0,600,900,cdf_applied,True,300,0.0,0.7889560694501884
tracked,right_cheek,0,630,930,cdf_applied,True,300,0.0,0.45924873262836907
tracked,right_cheek,0,660,960,cdf_applied,True,300,0.0,0.4251623202872876
tracked,right_cheek,0,690,990,cdf_applied,True,300,0.0,0.4781766357055902
tracked,right_cheek,0,720,1020,cdf_applied,True,300,0.0,0.707167823378419
tracked,right_cheek,0,750,1050,cdf_applied,True,300,0.0,0.7162012193641029
tracked,right_cheek,0,780,1080,cdf_applied,True,300,0.0,0.5963925216883876
tracked,right_cheek,0,810,1110,cdf_applied,True,300,0.0,0.8554049392374253
tracked,right_cheek,0,840,1140,cdf_applied,True,300,0.0,0.6176178654877095
tracked,right_cheek,0,870,1170,cdf_applied,True,300,0.0,0.6885242778572301
tracked,right_cheek,0,900,1200,cdf_applied,True,300,0.0,0.8226562966404459
tracked,right_cheek,0,930,1230,cdf_applied,True,300,0.0,0.9068218204660382
tracked,right_cheek,0,960,1260,cdf_applied,True,300,0.0,0.7283354866814162
tracked,right_cheek,0,990,1290,cdf_applied,True,300,0.0,0.778049256760483
tracked,right_cheek,0,1020,1320,cdf_applied,True,300,0.0,0.9243701487441935
tracked,right_cheek,0,1050,1350,cdf_applied,True,300,0.0,0.9560284654532374
tracked,right_cheek,0,1080,1380,cdf_applied,True,300,0.0,0.7541341028914006
tracked,right_cheek,0,1110,1410,cdf_applied,True,300,0.0,0.768538840670642
tracked,right_cheek,0,1140,1440,cdf_applied,True,300,0.0,0.6604980497095293
tracked,right_cheek,0,1170,1470,cdf_applied,True,300,0.0,0.6462485055525479
tracked,right_cheek,0,1200,1500,cdf_applied,True,300,0.0,0.5632568758407505
tracked,right_cheek,0,1230,1530,cdf_applied,True,300,0.0,0.752739340889641
tracked,right_cheek,0,1260,1560,cdf_applied,True,300,0.0,0.7556561711090506
tracked,right_cheek,0,1290,1590,cdf_applied,True,300,0.0,0.7582507096552984
tracked,right_cheek,0,1320,1620,cdf_applied,True,300,0.0,0.8855460431499945
tracked,right_cheek,0,1350,1650,cdf_applied,True,300,0.0,0.8415779044024008
tracked,right_cheek,0,1380,1680,cdf_applied,True,300,0.0,0.8103891241272171
tracked,right_cheek,0,1410,1710,cdf_applied,True,300,0.0,0.8548170181186503
tracked,right_cheek,0,1440,1740,cdf_applied,True,300,0.0,0.5463102411429777
tracked,right_cheek,0,1470,1770,cdf_applied,True,300,0.0,0.6813873699793214
tracked,right_cheek,0,1500,1800,cdf_applied,True,300,0.0,0.7697407422408429
tracked,right_cheek,0,1530,1830,cdf_applied,True,300,0.0,0.7115546678330428
tracked,right_cheek,0,1560,1860,cdf_applied,True,300,0.0,0.7563648657105023
